slice,model,n,acc,prec,rec,f1
Full test set,Naive Bayes (TF-IDF),25000,0.85728,0.874162198391421,0.83472,0.8539859224095596
Full test set,Linear SVM (TF-IDF),25000,0.881,0.886974892337694,0.87328,0.880074172612569
Full test set,Hybrid SVM (TF-IDF + lexicon),25000,0.88288,0.8894222945484134,0.87448,0.881887858007261
Long reviews (>=300 words) [n=5588],Naive Bayes (TF-IDF),5588,0.8482462419470294,0.8479427549194991,0.8485499462943072,0.8482462419470294
Long reviews (>=300 words) [n=5588],Linear SVM (TF-IDF),5588,0.8786685755189693,0.8923933209647495,0.8610812746151092,0.8764577259475219
Long reviews (>=300 words) [n=5588],Hybrid SVM (TF-IDF + lexicon),5588,0.8777738010021474,0.8921933085501859,0.8592910848549946,0.8754331570308226
Negation-heavy (>=3 cues) [n=9197],Naive Bayes (TF-IDF),9197,0.8533217353484832,0.8308148947652455,0.810049986845567,0.8203010523511389
Negation-heavy (>=3 cues) [n=9197],Linear SVM (TF-IDF),9197,0.8763727302381211,0.853315649867374,0.8463562220468298,0.8498216880200766
Negation-heavy (>=3 cues) [n=9197],Hybrid SVM (TF-IDF + lexicon),9197,0.8760465369142112,0.8604714169601734,0.8355695869508024,0.8478376935397758
Mixed sentiment (pos&neg>=2) [n=4737],Naive Bayes (TF-IDF),4737,0.863204559848005,0.7556207233626588,0.6601195559350982,0.7046490428441203
Mixed sentiment (pos&neg>=2) [n=4737],Linear SVM (TF-IDF),4737,0.8885370487650411,0.7946837763519706,0.740392826643894,0.76657824933687
Mixed sentiment (pos&neg>=2) [n=4737],Hybrid SVM (TF-IDF + lexicon),4737,0.8895925691365844,0.800556586270872,0.7369769427839453,0.7674522009782125
